name,description,sku,barcode,category_id,location_id,location,min_stock,max_stock,purchase_price,sale_price,tax_rate,status
LIQUIDO PARA FRENO DOT 4 120 ML,,130021,,630b0a0c-4d28-4950-baa6-1dc4715d4d67,,03A01E16-D,5,,13,20,0,active
RODAMIENTO 6204,,1100342,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,01A01E04-B,5,,44.8,67,0,active
SEGURO DE PINON 10202215 COCODRILO,,10202215,,f4a23b9f-b241-462d-93d3-1239bf784ba0,,VITRINAB3-W,5,,6,10,0,active
TAPA DE JEBE GUARDACADENA,,15161069,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-A,5,,2.8,4,0,active
NIPLE DE RADIOS,,16151066,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-W,5,,1.4,3,0,active
LAMPARA 12V-10W,,18201044,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,02A01E09-B,5,,5.6,8,0,active
LAMPARA 12V-10W,,18201044-1,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,02A01E09-W,5,,5.6,8,0,active
LAMPARA 12V-10W,,18201044-2,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,VITRINAB3-C,5,,5.6,8,0,active
GUARDABARRO DELANTERO ROJO XZ,,20100175,,f198707c-f3fd-43ff-acb2-62617e1f99cf,,03A01E18-C,5,,0,0,0,active
GUARDABARRO DELANTERO NEGRO,,20100231,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,120,160,0,active
FILTRO DE AIRE CARGUERO CUELLO RECTO,,20603040,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,0,0,0,active
FILTRO DE AIRE NEGRO,,20603144,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,0,0,0,active
GUARDABARRO DELANTERO,,20603172,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,0,0,0,active
KIT DE GUARDABARRO CGL ROJO,,20603249,,0b48e635-e9b1-4506-b13a-6adddd90387e,,03A01E18-C,5,,0,0,0,active
GUARDABARRO DELANTERO ROJO,,20603264,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,120,160,0,active
GUARDABARRO DELANTERO PULSAR 135 ROJO,,20603308,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,120,160,0,active
LLANTA 4.00-8 TORITO,,21150307,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,PISO,5,,618.8,928,0,active
GUARDABARRO DELANTERO G1 ROJO,,21163212,,6ae1440f-21f0-4c7d-a846-b7bb98545e47,,03A01E18-C,5,,90,130,0,active
RETEN DE ACEITE DELGADO RUEDA POST.MET.,,22171007,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,01A01E02-B,5,,7,11,0,active
EMBRAGUE COMPLETO,,24101781,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,01A01E02-C,5,,470.4,706,0,active
PALIER,,24102003,,cc3d43a0-5c7a-4637-b669-c99519b97b65,,02A04E12-B,5,,190.4,285,0,active
FLOTADOR DE CARBURADOR,,24121365,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,88.2,132,0,active
FILTRO DE COMBUSTIBLE,,24121652,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E05-B,5,,10.5,16,0,active
